Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	varex kappa ratio	d_table_score_node20	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	32.82345177481555	26.1311854347004	12.362839966073324	5.211103987590013	1402	692	0.4665194996320824	0.2788671023965142	2631	-0.04012816888259102	0.9679996346611506	8.0	-1	26.82343406304532	n/a	n/a	rejected	Unlikely BOLD
ICA_01	49.1172576661985	20.819911395971	18.49400257143535	23.010452984744678	10207	3373	0.5456304746384192	0.24449877750611246	3246	0.0	0.0	5.6	1	26.814961821429662	4.2	n/a	rejected	Less likely BOLD
ICA_02	29.541146522287338	23.76630728951088	1.7111832152405235	2.2533620385073405	2540	2058	0.4358353510895884	0.30054374691052893	2879	8.410264282143043	5.470701235942115e-16	6.8	1	4.125243088338844	5.2	1.9651749004355068	accepted	Accept borderline
ICA_03	33.49621531055218	28.577707969886177	2.344187394164888	3.173472629122698	3542	2733	0.4616971125515616	0.25543781372002233	3189	-5.036079522002368	4.945433204761421e-06	8.0	1	4.9839877601841	6.0	n/a	rejected	Less likely BOLD
ICA_04	19.983886628502127	16.355029091412355	3.071511496450542	2.0591301942711246	443	237	0.4462809917355372	0.23628691983122363	3099	5.728848837256476	5.3432741737935315e-08	9.4	1	10.945927527344338	n/a	n/a	rejected	Less likely BOLD
ICA_05	45.32906070991591	21.569047641922403	4.174078978074733	5.706173515929827	5386	2080	0.49655304481041745	0.211486319940843	3208	2.967034450902639	0.0052613493937909185	5.8	1	6.557892944008542	4.4	n/a	rejected	Less likely BOLD
ICA_06	16.936236395517103	13.221242411843518	1.1475188263824478	1.6179946012191346	647	48	0.17637540453074432	0.0	3246	0.0	0.0	12.8	1	4.825288592014006	9.2	0.2759131151558569	accepted	Likely BOLD
ICA_07	61.366033952369015	9.606830930845323	1.3154664188337268	2.8332616671413593	3101	0	0.6510561650564926	0.0	1301	9.829685361614594	1.8805725483418253e-22	1.0	1	1.5266240164004299	1.0	0.5112216837882322	accepted	Likely BOLD
ICA_08	33.451307738660134	10.780513899970314	0.9234962714052726	1.7870385212812967	2156	0	0.37434179033030157	0.0	2438	7.547508128513595	8.053888537032682e-14	6.2	1	1.9660856168326333	5.4	0.8062008359736472	accepted	Likely BOLD
ICA_09	47.84684419178997	21.480916992599816	34.443727667539264	38.09926976152966	12645	3910	0.518792109749168	0.2427669647553919	3246	0.0	0.0	5.8	-1	51.266920217922774	4.4	n/a	rejected	Less likely BOLD
ICA_10	31.80716046327008	17.862547629331534	2.824544665002392	2.7245295090002757	2078	881	0.46994262908455975	0.12089810017271158	3064	5.258281675602555	4.0309262890420984e-07	6.8	1	6.324175701878157	n/a	n/a	rejected	Less likely BOLD
ICA_11	30.62758921462332	22.91756176000223	12.224805349591032	5.273213132699279	1325	503	0.4354901201084851	0.26272912423625255	2676	5.016023097731887	6.546047162916516e-07	8.2	-1	28.425592089490642	n/a	n/a	rejected	Less likely BOLD
ICA_12	22.41821250819661	16.24009966203615	1.3728666530585985	2.3680630641602662	777	304	0.2320730117340287	0.0	3246	0.0	0.0	11.8	-1	4.361217588399353	8.4	1.0664614205979528	accepted	Accept borderline
ICA_13	18.214635194318245	15.5699998854983	2.4636006256102183	1.9240178426106818	450	55	0.5044444444444445	0.0	3171	4.034407838969316	0.0001283405133359136	9.2	-1	9.632304618521367	6.4	n/a	rejected	Less likely BOLD
ICA_14	42.05600374417552	9.422193094166108	1.1261699011376771	1.9589165501923844	3054	0	0.5629604822505023	0.0	2241	9.037865449111353	3.801162182009462e-19	2.6	-1	1.907024592354471	2.6	1.6365725213003945	accepted	Likely BOLD
